timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-08-16,213002.39294600,213438.90181000,209523.37936800,209577.57824600,29200.01000000,29259.85000000,28723.08000000,28730.51000000,32996.69854000,32996.69854000
2023-08-15,214686.78903200,215185.30199600,211978.15816000,213002.32000000,29430.92000000,29499.26000000,29059.60000000,29200.00000000,27503.87691000,27503.87691000
2023-08-14,213759.86421000,216615.48127200,212290.73177000,214686.86197800,29303.85000000,29695.32000000,29102.45000000,29430.93000000,31443.11532000,31443.11532000
2023-08-13,214681.39102800,215005.78189000,213529.86547200,213759.79126400,29430.18000000,29474.65000000,29272.32000000,29303.84000000,11101.70947000,11101.70947000
2023-08-12,214651.04549200,215054.65571000,214326.72757600,214681.31808200,29426.02000000,29481.35000000,29381.56000000,29430.17000000,8971.48068000,8971.48068000
2023-08-11,214867.98689600,215661.34759200,213384.92177000,214651.11843800,29455.76000000,29564.52000000,29252.45000000,29426.03000000,20637.04430000,20637.04430000
2023-08-10,215788.78425400,216926.81480000,213879.13092000,214867.91395000,29581.99000000,29738.00000000,29320.20000000,29455.75000000,23463.45373000,23463.45373000
2023-08-09,217163.23278600,220005.13600000,214291.05698200,215788.78425400,29770.41000000,30160.00000000,29376.67000000,29581.99000000,38003.88725000,38003.88725000
2023-08-08,213082.99827600,220617.88240000,212611.69417000,217163.30573200,29211.06000000,30244.00000000,29146.45000000,29770.42000000,45700.53392000,45700.53392000
2023-08-07,212188.46147800,213562.39938800,209362.53343800,213082.99827600,29088.43000000,29276.78000000,28701.03000000,29211.06000000,30966.87746000,30966.87746000
2023-08-06,212069.55949800,213039.44951400,211484.16784800,212188.38853200,29072.13000000,29205.09000000,28991.88000000,29088.42000000,13178.19720000,13178.19720000
2023-08-05,212374.98440000,212653.85695800,211387.58734400,212069.55949800,29114.00000000,29152.23000000,28978.64000000,29072.13000000,11645.52018000,11645.52018000
2023-08-04,212955.99929000,213973.08536800,210139.48128400,212374.91145400,29193.65000000,29333.08000000,28807.54000000,29113.99000000,23551.95217000,23551.95217000
2023-08-03,212900.19560000,214704.36901800,211309.97280000,212955.92634400,29186.00000000,29433.33000000,28968.00000000,29193.64000000,26476.91994000,26476.91994000
2023-08-02,216693.31465400,219184.49350000,211014.54150000,212900.26854600,29705.99000000,30047.50000000,28927.50000000,29186.01000000,48181.65141000,48181.65141000
2023-08-01,213237.64379600,216935.93305000,208521.24722000,216693.31465400,29232.26000000,29739.25000000,28585.70000000,29705.99000000,44719.65162000,44719.65162000
2023-07-31,213593.83911400,215409.53800000,212285.99028000,213237.57085000,29281.09000000,29530.00000000,29101.80000000,29232.25000000,22605.48964000,22605.48964000
2023-07-30,214117.66434000,214818.67540000,211785.87250400,213593.83911400,29352.90000000,29449.00000000,29033.24000000,29281.09000000,15706.97441000,15706.97441000
2023-07-29,213834.92564400,214511.71863200,213412.13062800,214117.66434000,29314.14000000,29406.92000000,29256.18000000,29352.90000000,10851.36844000,10851.36844000
2023-07-28,213168.49098800,215498.67801200,212441.51115200,213834.92564400,29222.78000000,29542.22000000,29123.12000000,29314.14000000,23993.61627000,23993.61627000
2023-07-27,214110.73447000,215683.01255400,212155.05221000,213168.49098800,29351.95000000,29567.49000000,29083.85000000,29222.78000000,22476.47626000,22476.47626000
2023-07-26,213213.20688600,216576.67400000,212250.53852400,214110.80741600,29228.91000000,29690.00000000,29096.94000000,29351.96000000,33931.63366000,33931.63366000
2023-07-25,212830.89690000,214286.16960000,211890.98769000,213213.20688600,29176.50000000,29376.00000000,29047.65000000,29228.91000000,21565.74780000,21565.74780000
2023-07-24,219448.92275000,219564.39626800,210536.01574000,212830.89690000,30083.75000000,30099.58000000,28861.90000000,29176.50000000,39628.99691000,39628.99691000
